Date,ES=F,NQ=F,Spread,Spread_Mean,Spread_Std,Z_Score,Signal
2022-07-29,4133.5,12971.5,117.41555087638152,117.3511517466226,46.983756684032116,0.001370667956417323,0
2022-08-01,4120.5,12962.5,106.43247475418092,116.56295814569381,46.75936994807704,-0.21665140917771303,0
2022-08-02,4093.75,12924.5,88.19837557155688,115.48957770518703,46.65716065606831,-0.5849306247931872,0
2022-08-03,4156.25,13271.5,72.934754949732,113.95162599658879,46.511022549312706,-0.8818742052675619,0
2022-08-04,4152.25,13327.0,56.497057703301834,112.46472046970682,46.902880086710866,-1.1932670800372123,0
2022-08-05,4146.75,13228.75,73.01514336927949,111.6788153187918,47.1659128727036,-0.819737594263509,0
2022-08-08,4141.75,13183.25,78.21181408482153,110.67133916007018,47.22537229962119,-0.6873323278281285,0
2022-08-09,4124.5,13031.5,94.9693916910519,109.90911746654409,47.10135511194507,-0.3171825044095902,0
2022-08-10,4210.0,13392.0,99.68038525252814,109.31035742271236,46.99738697165423,-0.20490441683475702,0
2022-08-11,4209.75,13311.25,117.52667448945112,108.74359943072506,46.68358391640943,0.18814054795906082,0
2022-08-12,4281.0,13577.75,129.0533174412776,108.21402527209361,46.261042775278796,0.4504717342930326,0
2022-08-15,4298.25,13681.25,123.10869284658293,107.95190516159647,46.1289625859209,0.3285742153154878,0
2022-08-16,4307.75,13658.25,137.7630538676267,108.13685978662781,46.22741011030482,0.640879383255666,0
2022-08-17,4276.75,13493.25,143.73999162728342,108.25219921613957,46.308749588993834,0.7663301800655442,0
2022-08-18,4286.5,13523.25,146.76691203461905,107.94028675286988,45.97859701036154,0.8444499790413216,0
2022-08-19,4231.5,13268.5,148.8570629089986,107.19705803619445,44.92118245740287,0.9274022319494559,0
2022-08-22,4141.25,12909.75,139.003889704617,106.32506942180369,43.75309949200217,0.7468915496783677,0
2022-08-23,4130.5,12896.5,131.2232498580438,105.26544671148568,42.32047203588624,0.6133627981405037,0
2022-08-24,4142.75,12929.75,136.0218366428403,104.1075489018459,40.44031509363984,0.7891701057990432,0
2022-08-25,4201.0,13156.0,143.56861138149225,103.36704387269992,39.26792791586478,1.02377613595828,0
2022-08-26,4059.5,12620.5,122.07558211056175,102.44912496620536,38.14149929838284,0.5145696290231709,0
2022-08-29,4031.25,12492.75,122.45469604265963,101.54687769768239,36.980582179806454,0.5653728825392621,0
2022-08-30,3987.5,12358.75,108.73445155656329,100.27327328195452,35.33159610255137,0.23947908410505603,0
2022-08-31,3956.5,12285.25,94.20599655859225,98.73422033737374,33.47200682242349,-0.13528390463125617,0
2022-09-01,3968.75,12292.25,104.88727798697072,97.13347095916531,30.682026993340806,0.25271495359443774,0
2022-09-02,3924.5,12104.25,102.76857676767077,95.88561274341424,28.81820076124016,0.2388408659264376,0
2022-09-06,3910.5,12019.0,107.87332794349368,95.07928406325992,27.75782102055589,0.46091672220089625,0
2022-09-07,3980.0,12263.25,122.63625492654684,94.84842659792912,27.463637848218006,1.0118043531665908,0
2022-09-08,4005.5,12321.75,135.02624972085005,95.26907251327371,27.88636078760316,1.42568539187983,0
2022-09-09,4067.25,12592.5,136.10045639704867,96.00308557476039,28.375769417745047,1.413084883513785,0
2022-09-12,4110.75,12740.75,146.3772380766295,97.07732318987888,29.045825811103224,1.6973149672991896,0
2022-09-13,3931.25,12036.5,124.70153151443948,98.05522995731651,28.97033662159475,0.9197788035800928,0
2022-09-14,3947.5,12142.0,117.3087016135678,99.00582039993473,28.64349737116237,0.6389890513879776,0
2022-09-15,3902.0,11934.75,118.25397646622788,99.90804209194712,28.377367580502234,0.6464988100899831,0
2022-09-16,3871.239990234375,11814.580078125,114.424365014268,100.78681725125146,27.987768205611893,0.48726814023999404,0
2022-09-19,3917.25,12024.0,113.50281467804962,101.67506041608563,27.519894451844724,0.4297892305750157,0
